iter	Passed	Remaining
414	2976	4195
415	2982	4187
416	2989	4179
417	2995	4171
418	3002	4163
419	3009	4155
420	3015	4147
421	3022	4139
422	3028	4131
423	3035	4124
424	3042	4115
425	3048	4108
426	3056	4100
427	3063	4093
428	3069	4085
429	3076	4077
430	3082	4069
431	3089	4062
432	3096	4054
433	3102	4046
434	3110	4039
435	3116	4031
436	3123	4023
437	3130	4016
438	3136	4008
439	3144	4001
440	3152	3995
441	3161	3991
442	3170	3986
443	3178	3980
444	3187	3974
445	3194	3967
446	3201	3960
447	3208	3952
448	3215	3945
449	3221	3937
450	3227	3929
451	3234	3921
452	3240	3913
453	3247	3905
454	3253	3897
455	3260	3890
456	3267	3881
457	3273	3874
458	3280	3866
459	3287	3858
460	3293	3850
461	3300	3843
462	3307	3835
463	3314	3828
464	3320	3820
465	3326	3812
466	3333	3804
467	3339	3796
468	3347	3789
469	3353	3781
470	3360	3774
471	3366	3766
472	3373	3758
473	3380	3751
474	3386	3742
475	3392	3734
476	3399	3727
477	3406	3719
478	3413	3712
479	3419	3704
480	3426	3696
481	3433	3689
482	3440	3683
483	3447	3675
484	3454	3668
485	3460	3660
486	3467	3652
487	3473	3644
488	3480	3637
489	3492	3634
490	3498	3626
491	3505	3619
492	3513	3613
493	3520	3605
494	3526	3598
495	3533	3590
496	3539	3582
497	3546	3574
498	3553	3567
499	3560	3560
500	3566	3552
501	3572	3544
502	3580	3537
503	3588	3531
504	3594	3523
505	3600	3515
506	3609	3510
507	3617	3503
508	3624	3496
509	3630	3488
510	3637	3480
511	3644	3473
512	3650	3465
513	3657	3457
514	3664	3450
515	3670	3442
516	3676	3434
517	3682	3427
518	3689	3419
519	3696	3411
520	3703	3404
521	3709	3397
522	3716	3389
523	3723	3382
524	3729	3374
525	3736	3367
526	3743	3359
527	3750	3352
528	3758	3346
529	3764	3338
530	3772	3331
531	3779	3324
532	3786	3317
533	3796	3312
534	3804	3306
535	3812	3300
536	3820	3293
537	3830	3289
538	3838	3282
539	3846	3276
540	3855	3271
541	3864	3265
542	3873	3259
543	3881	3253
544	3890	3248
545	3900	3243
546	3909	3237
547	3917	3231
548	3927	3226
549	3936	3220
550	3944	3214
551	3952	3207
552	3958	3200
553	3965	3192
554	3971	3184
555	3978	3176
556	3985	3169
557	3991	3162
558	3998	3154
559	4005	3147
560	4011	3139
561	4019	3132
562	4025	3124
563	4032	3117
564	4039	3109
565	4045	3102
566	4052	3094
567	4058	3086
568	4065	3079
569	4071	3071
570	4078	3064
571	4085	3056
572	4091	3049
573	4098	3041
574	4105	3034
575	4111	3026
576	4118	3019
577	4124	3011
578	4130	3003
579	4136	2995
580	4143	2988
581	4149	2980
582	4156	2973
583	4163	2965
584	4170	2958
585	4177	2951
586	4183	2943
587	4190	2936
588	4196	2928
589	4202	2920
590	4209	2912
591	4216	2905
592	4222	2897
593	4228	2890
594	4235	2882
595	4242	2875
596	4249	2868
597	4255	2860
598	4262	2853
599	4268	2845
600	4275	2838
601	4282	2831
602	4289	2823
603	4295	2816
604	4302	2808
605	4308	2801
606	4314	2793
607	4321	2786
608	4328	2778
609	4335	2772
610	4342	2764
611	4349	2757
612	4356	2750
613	4362	2742
614	4369	2735
615	4376	2727
616	4382	2720
617	4388	2712
618	4395	2705
619	4401	2697
620	4408	2690
621	4414	2682
622	4420	2675
623	4427	2667
624	4435	2661
625	4442	2654
626	4448	2646
627	4455	2639
628	4461	2631
629	4468	2624
630	4475	2617
631	4481	2609
632	4488	2602
633	4495	2594
634	4502	2587
635	4509	2581
636	4517	2574
637	4524	2566
638	4531	2559
639	4537	2552
640	4543	2544
641	4550	2537
642	4557	2530
643	4564	2523
644	4571	2516
645	4577	2508
646	4584	2501
647	4591	2493
648	4598	2486
649	4604	2479
650	4610	2471
651	4618	2464
652	4624	2457
653	4631	2450
654	4639	2443
655	4646	2436
656	4654	2430
657	4661	2422
658	4669	2416
659	4676	2409
660	4684	2402
661	4692	2395
662	4699	2388
663	4707	2381
664	4714	2374
665	4721	2367
666	4729	2361
667	4736	2354
668	4744	2347
669	4752	2340
670	4761	2334
671	4768	2327
672	4776	2320
673	4784	2314
674	4791	2307
675	4798	2300
676	4806	2293
677	4814	2286
678	4822	2279
679	4829	2272
680	4839	2267
681	4848	2260
682	4855	2253
683	4863	2246
684	4870	2239
685	4878	2232
686	4885	2225
687	4893	2219
688	4901	2212
689	4908	2205
690	4916	2198
691	4923	2191
692	4930	2184
693	4938	2177
694	4945	2170
695	4952	2163
696	4959	2155
697	4966	2148
698	4972	2141
699	4978	2133
700	4986	2127
701	4994	2120
702	5002	2113
703	5010	2106
704	5017	2099
705	5025	2092
706	5033	2086
707	5041	2079
708	5047	2071
709	5054	2064
710	5062	2057
711	5069	2050
712	5077	2043
713	5084	2036
714	5090	2029
715	5097	2022
716	5104	2014
717	5112	2008
718	5120	2001
719	5128	1994
720	5135	1987
721	5143	1980
722	5150	1973
723	5157	1965
724	5164	1958
725	5171	1951
726	5177	1944
727	5184	1937
728	5191	1929
729	5198	1922
730	5204	1915
731	5211	1908
732	5218	1900
733	5224	1893
734	5231	1886
735	5238	1878
736	5244	1871
737	5251	1864
738	5257	1856
739	5264	1849
740	5270	1842
741	5277	1834
742	5284	1827
743	5290	1820
744	5297	1813
745	5303	1805
746	5311	1799
747	5318	1791
748	5330	1786
749	5337	1779
750	5343	1771
751	5350	1764
752	5357	1757
753	5363	1750
754	5370	1742
755	5377	1735
756	5383	1728
757	5392	1721
758	5398	1714
759	5405	1706
760	5412	1699
761	5419	1692
762	5426	1685
763	5433	1678
764	5440	1671
765	5445	1663
766	5452	1656
767	5458	1649
768	5465	1641
769	5472	1634
770	5478	1627
771	5485	1620
772	5491	1612
773	5498	1605
774	5504	1598
775	5511	1590
776	5517	1583
777	5523	1576
778	5530	1569
779	5537	1561
780	5543	1554
781	5550	1547
782	5558	1540
783	5564	1533
784	5571	1526
785	5578	1518
786	5586	1511
787	5594	1505
788	5603	1498
789	5612	1492
790	5621	1485
791	5628	1478
792	5635	1471
793	5642	1463
794	5649	1456
795	5655	1449
796	5662	1442
797	5669	1435
798	5676	1428
799	5683	1420
800	5690	1413
801	5696	1406
802	5703	1399
803	5710	1392
804	5716	1384
805	5723	1377
806	5729	1370
807	5735	1362
808	5742	1355
809	5748	1348
810	5755	1341
811	5762	1334
812	5768	1326
813	5774	1319
814	5783	1312
815	5792	1306
816	5802	1299
817	5809	1292
818	5820	1286
819	5830	1279
820	5839	1273
821	5846	1265
822	5857	1259
823	5867	1253
824	5875	1246
825	5885	1239
826	5894	1233
827	5902	1226
828	5909	1218
829	5915	1211
830	5922	1204
831	5929	1197
832	5935	1190
833	5942	1182
834	5948	1175
835	5955	1168
836	5961	1160
837	5968	1153
838	5975	1146
839	5981	1139
840	5987	1132
841	5994	1124
842	6000	1117
843	6006	1110
844	6013	1103
845	6019	1095
846	6026	1088
847	6032	1081
848	6039	1074
849	6046	1067
850	6053	1059
851	6059	1052
852	6066	1045
853	6072	1038
854	6079	1031
855	6085	1023
856	6092	1016
857	6099	1009
858	6106	1002
859	6112	995
860	6119	987
861	6126	980
862	6132	973
863	6139	966
864	6147	959
865	6154	952
866	6161	945
867	6169	938
868	6177	931
869	6185	924
870	6193	917
871	6200	910
872	6210	903
873	6216	896
874	6223	889
875	6230	881
876	6236	874
877	6244	867
878	6251	860
879	6258	853
880	6266	846
881	6274	839
882	6282	832
883	6289	825
884	6296	818
885	6302	810
886	6309	803
887	6316	796
888	6323	789
889	6329	782
890	6335	775
891	6342	767
892	6348	760
893	6355	753
894	6361	746
895	6368	739
896	6374	731
897	6382	724
898	6388	717
899	6395	710
900	6401	703
901	6408	696
902	6415	689
903	6423	682
904	6430	675
905	6437	667
906	6443	660
907	6449	653
908	6456	646
909	6462	639
910	6469	632
911	6475	624
